Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
583,336,2852,378,1346,1702,1263,94,988,1160,1419,1300,660,844,254,572,83,232
621,279,2135,268,1212,1498,1055,80,865,943,1111,1036,613,614,259,449,93,257
450,225,1740,227,922,1146,806,61,612,692,807,766,411,434,173,395,43,178
462,152,1106,187,627,862,651,33,433,499,581,557,328,240,98,267,53,142
382,184,1051,175,705,865,653,51,530,565,615,625,326,290,121,285,48,106
394,179,1516,213,794,1111,762,54,598,679,690,681,387,387,163,302,56,185
342,196,1149,192,665,900,749,34,487,510,555,552,352,279,109,243,44,131
315,198,1034,175,653,807,573,46,441,522,553,471,288,238,129,240,34,124
357,195,1244,206,716,817,718,60,537,612,554,582,310,310,121,277,39,144
353,213,1350,184,739,947,648,57,572,629,634,659,400,290,123,267,52,152
358,172,1153,211,588,772,582,33,464,527,547,524,288,281,118,271,42,130
410,196,1236,209,676,869,613,39,430,606,539,606,281,307,125,287,43,144
433,208,1510,246,735,1041,733,56,531,631,627,739,381,334,168,272,96,171
424,234,1382,188,648,817,638,44,504,559,588,630,321,315,220,236,74,141
340,203,1158,193,702,747,638,50,532,506,516,582,333,312,158,350,66,128
489,270,1738,230,1011,1132,915,53,774,811,843,845,482,390,129,346,65,171
496,272,1697,245,1004,1239,857,82,621,782,913,905,482,492,155,401,73,176
391,223,1340,245,739,1005,687,47,592,630,708,677,449,378,149,311,64,131
453,293,1459,267,827,1112,751,68,634,726,833,807,508,414,226,344,73,157
558,353,2526,317,1469,1815,1020,91,869,1092,1118,1242,755,603,184,494,116,272
536,318,2929,337,1641,2052,1145,91,969,1065,1338,1211,750,658,230,514,165,277
502,306,2696,323,1420,1734,1115,99,829,1143,1254,1215,630,629,195,581,98,271
532,318,2578,322,1426,1649,1151,79,947,1114,1354,1239,558,755,191,531,100,291
478,254,2353,298,1249,1439,1019,65,760,945,1164,1040,506,512,210,404,141,242
430,220,1681,218,982,1076,777,40,580,703,877,773,426,451,194,344,82,185
579,259,2027,264,3007,1456,920,57,659,1038,1029,1158,562,541,172,621,97,258
601,309,2811,435,1477,1709,1249,93,926,1200,1297,1313,603,710,211,596,113,345
608,388,2951,308,1406,1735,1204,95,898,1191,1223,1356,623,673,237,470,110,268
567,321,2878,355,1609,1699,1245,81,906,1193,1244,1318,548,696,220,537,90,233
534,345,3232,331,1464,1814,1389,111,958,1227,1340,1398,595,676,185,562,82,240
502,305,2752,309,1278,1530,1210,63,801,1084,1104,1136,501,555,174,479,81,216
444,244,1895,265,1040,1160,817,78,577,795,792,840,383,442,132,358,54,216
482,282,2084,290,1156,1249,1034,63,709,851,900,898,468,508,197,407,57,179
606,348,3037,339,1718,2086,1587,77,947,1292,1267,1511,661,660,222,587,67,272
692,338,3385,411,1560,2216,1690,89,1091,1309,1510,1449,689,800,225,558,87,296
624,345,3248,380,1703,2034,1468,87,998,1254,1463,1452,670,723,215,559,100,288
605,365,3242,352,1440,1761,1305,93,1075,1209,1317,1453,618,753,230,523,61,271
561,326,2742,476,1460,1609,1178,71,936,1058,1240,1389,518,607,147,488,73,242
469,219,1869,251,978,1230,899,59,690,826,867,939,452,448,111,363,66,210
466,282,2026,257,915,1313,1003,76,736,882,991,997,508,514,142,343,48,187
618,372,3121,329,1371,1917,1474,92,973,1264,1340,1495,630,699,233,563,89,309
691,411,3477,369,1554,2054,1569,92,1033,1330,1430,1588,665,741,236,524,100,297
621,384,3427,337,1536,1872,1459,94,1042,1316,1432,1618,711,701,301,579,91,330
621,421,3585,343,1643,2026,1460,100,941,1281,1489,1426,684,757,268,526,115,304
579,289,2993,312,1390,1844,1275,86,855,1166,1257,1278,582,614,279,430,87,228
455,292,2005,223,1007,1344,964,91,718,861,923,968,476,486,181,345,71,212
436,313,2485,265,1044,1534,1097,89,807,1009,953,1138,491,613,222,421,100,242
